watch_id,venue_id,expected_cycle,expected_submission_month,last_year_cfp_url,current_year_homepage_url,current_status,last_checked_at,next_check_date,notes,ai_confidence,change_note
W001,V006,annual,2026-06,https://mobilehci.acm.org/2026/submit/lbw-posters.html,https://mobilehci.acm.org/2026/,CFP released,2026-09-14,2026-09-21,LBW 마감 TBD ~June 2026 — 즉시 재확인 필요. 모바일 UX 1순위 트랙.,medium,"Weekly watchlist fetch OK: https://mobilehci.acm.org/2026/. Date evidence candidates: t 🏴󠁧󠁢󠁷󠁬󠁳󠁿 Important Dates Paper submissions: Jan 29, 2026 Notification: Apr 2, 2026 Revised submission | aper submissions: Jan 29, 2026 Notification: Apr 2, 2026 Revised submission: May 7, 2026 Final notifi | otification: Apr 2, 2026 Revised submission: May 7, 2026 Final notification: June 4, 2026 Camera read | submission: May 7, 2026 Final notification: June 4, 2026 Camera ready deadline: July 3, 2026 Advance | ication: June 4, 2026 Camera ready deadline: July 3, 2026 Advance registration deadline: August 12, 20 | July 3, 2026 Advance registration deadline: August 12, 2026 On-site registration: Now Available ACM Priv | re at 23:59 Anywhere on Earth Last modified: September 02, 2026"
W002,V001,annual,2026-11,https://chi2027.acm.org/authors/posters/,https://chi2027.acm.org/,CFP released,2026-09-14,2026-09-21,CHI 2027 LBW/Posters/Demos/Workshops 마감 미공개(예년: 11월~1월).,low,Weekly watchlist fetch OK: https://chi2027.acm.org/. Date evidence candidates: none found
W003,V003,annual,2027-01,https://dis.acm.org/2026/,,CFP released,2026-09-14,2026-09-21,DIS 2027 사이트 미개설(dis.acm.org/2027 예상). 예년 abstract ~1월 초.,medium,"Weekly watchlist fetch OK: https://dis.acm.org/2026/. Date evidence candidates: ies in Asia. Open Access Publishing Starting January 1, 2026, ACM will fully transition to Open Access. A"
W004,V012,annual,2027-02,https://cui.acm.org/2026/,,CFP released,2026-09-14,2026-09-21,CUI 2027 미발표. 예년 full paper ~2월 말/3월 초.,low,Weekly watchlist fetch OK: https://cui.acm.org/2026/. Date evidence candidates: none found
W005,V011,annual,2026-10,https://2026.hci.international/submissions.html,https://www.hci.international/,CFP not released,2026-09-14,2026-09-21,HCII 2027은 2026 학회(7월 말) 이후 발표 예상. Helsinki 설은 2차 출처 — 미확인.,medium,"Weekly watchlist fetch OK: https://www.hci.international/. Date evidence candidates: 'on-line' participation. Last revision date: September 14, 2026 URL: http://www.hci.international |"
W006,V014,annual,2027-01,https://facctconference.org/2026/cfp.html,,CFP released,2026-09-14,2026-09-21,"FAccT 2027 Porto, 2027-06-21~24 설은 검색결과 기반 — 공식 페이지 미확인. 예년 마감 ~1월 중순.",medium,"Weekly watchlist fetch OK: https://facctconference.org/2026/cfp.html. Date evidence candidates: ing model for 2026 ACM Conferences! Starting January 1, 2026, ACM will fully transition to Open Access. A"
W009,V026,annual,2026-09,,https://ieeevr.org/2027/,CFP released,2026-09-14,2026-09-21,"예년 abstract ~9월, paper ~10월.",medium,"Weekly watchlist fetch OK: https://ieeevr.org/2027/. Date evidence candidates: IEEE VR 2027 Top IEEE VR 2027 February 27 – March 3, 2027 Melbourne, Australia IEEE VR 2027 Contribute | ☰ Call for Papers — Key Dates Abstract due: August 24, 2026 | Submission due: August 31, 2026 | For CFP | tract due: August 24, 2026 | Submission due: August 31, 2026 | For CFP Click Here IEEE VR 2027 will take | e in Melbourne, Australia from February 27 – March 3, 2027. The IEEE Conference on Virtual Reality and"
W013,V002,annual,2026-06,https://cscw.acm.org/2026/demos.html,https://cscw.acm.org/2026/,unknown,2026-09-14,2026-09-21,CSCW 2026 Demos/Workshops/Panels 마감 미확인 — 페이지 확인 필요.,medium,"Weekly watchlist fetch OK: https://cscw.acm.org/2026/. Date evidence candidates: this year's conference have been announced! September 10, 2026 Sign up to part of the CSCW Mentor lunch by | of the CSCW Mentor lunch by September 27th! September 4, 2026 A draft of the in-person program is now avai | t of the in-person program is now available! August 31, 2026 Early bird registration has been extended to | Early bird registration has been extended to August 18, 2026! August 11, 2026 Sponsors Gold Sponsors Silv | ration has been extended to August 18, 2026! August 11, 2026 Sponsors Gold Sponsors Silver Sponsors Frien"
W014,V020,annual,2026-11,,,unknown,2026-09-14,2026-09-21,ECIS 2027 사이트 미확인.,low,Weekly watchlist fetch failed (no_url): 
W015,V021,annual,2026-12,,,unknown,2026-09-14,2026-09-21,PACIS 2027 사이트 미확인.,low,Weekly watchlist fetch failed (no_url): 
W016,V022,annual,2027-02,,,unknown,2026-09-14,2026-09-21,AMCIS 2027 사이트 미확인.,low,Weekly watchlist fetch failed (no_url): 
W017,V027,annual,2027-03,,,unknown,2026-09-14,2026-09-21,IVA 2027 사이트 미확인. project_specific_only.,low,Weekly watchlist fetch failed (no_url): 
W007,V015,annual,2026-07,https://www.humancomputation.com/2026/submit.html,https://www.humancomputation.com/2026/,CFP released,2026-09-14,2026-09-21,Posters/Demos·DC·CrowdCamp 마감 Coming soon.,low,Weekly watchlist fetch OK: https://www.humancomputation.com/2026/. Date evidence candidates: none found
