venue_id,venue_name,acronym,venue_type,field,publisher,society,official_homepage_url,official_cfp_url,proceedings_url,template_url,submission_system_url,typical_submission_types,typical_page_limit,priority_scope,primary_relevance,secondary_relevance,domain_fit_notes,notes,source_id,last_checked_at,verification_status
V001,ACM CHI Conference on Human Factors in Computing Systems,CHI,conference,HCI,ACM,ACM SIGCHI,https://chi2027.acm.org/,https://chi2027.acm.org/authors/papers/,,https://chi2026.acm.org/chi-publication-formats/,https://new.precisionconference.com/,full paper; late-breaking work; workshop; SRC,5000-8000 words (max 12000),core,HCI,AI UX; Mobile UX; Financial UX,"범용 HCI 최상위. 모바일 앱 UX, AI UX, 금융 의사결정 UX 모두 framing 가능.","CHI 2027: Pittsburgh, 2027-05-10~14. R&R 사이클.",S001,2026-06-10,verified_official
V002,ACM CSCW (PACM HCI CSCW track),CSCW,journal-style proceedings,CSCW,ACM,ACM SIGCHI,https://cscw.acm.org/2026/,https://cscw.acm.org/2026/rolling.html,,https://dl.acm.org/journal/pacmhci/submission-templates,https://mc.manuscriptcentral.com/pacmhci,full paper (rolling journal-style),5000-12000 words,core,Social Computing,Platform UX; AI-mediated work; Workplace UX,"금융 UX 자체보다 협업·조직·플랫폼·상담/업무 맥락이 있을 때 적합. 2026년부터 분기 사이클 없는 완전 rolling 모델.","CSCW 2026: Salt Lake City, 2026-10-10~14.",S003,2026-06-10,verified_official
V003,ACM Designing Interactive Systems,DIS,conference,Design Research,ACM,ACM SIGCHI,https://dis.acm.org/2026/,https://dis.acm.org/2026/,,,,full paper; pictorial; provocations & WiP; demo,,core,Design Research,Service Design; UX Research,디자인 리서치/서비스 디자인 framing의 UX 연구에 적합.,DIS 2026(싱가포르) 전 트랙 마감. DIS 2027 CFP는 watchlist로 추적.,S006,2026-06-10,verified_official
V004,ACM Symposium on User Interface Software and Technology,UIST,conference,HCI,ACM,ACM SIGCHI/SIGGRAPH,https://uist.acm.org/2026/,https://uist.acm.org/2026/cfp/,,,https://new.precisionconference.com/,full paper; poster; demo; workshop,,core,HCI,Interaction Techniques; AI UX,시스템/인터랙션 기술 중심. 기술적 novelty가 강한 프로젝트에 적합.,UIST 2026: 2026-11-02 주간. 개최 도시 CFP 페이지에 미표기(확인 필요).,S007,2026-06-10,verified_official
V005,ACM Conference on Intelligent User Interfaces,IUI,conference,Human-AI Interaction,ACM,ACM SIGCHI/SIGAI,https://iui.acm.org/2027/,https://iui.acm.org/2027/call-for-papers/,,,,full paper; short paper; workshop,,core,Human-AI Interaction,AI UX; Personalization; Conversational UX; Explainability,"AI UX, 추천, 지능형 인터페이스, explainability 연구에 적합.","IUI 2027: Helsinki, 2027-02-08~11. 마감일 Coming soon.",S009,2026-06-10,verified_official
V006,ACM MobileHCI,MobileHCI,conference,HCI,ACM,ACM SIGCHI,https://mobilehci.acm.org/2026/,https://mobilehci.acm.org/2026/submit/lbw-posters.html,,,https://new.precisionconference.com/,full paper (PACMHCI); late-breaking work; workshop,LBW 8p (excl. refs),core,Mobile App Interaction,UX Research; Digital Service UX,"모바일 앱 interaction, mobile service experience 연구에 직접 적합.","MobileHCI 2026: Swansea UK, 2026-08-31~09-03.",S011,2026-06-10,verified_official
V007,IFIP TC13 INTERACT,INTERACT,conference,HCI,Springer,IFIP TC13,https://interact2027.org/,https://interact2027.org/calls/,,,,full paper; short paper; workshop; poster,,core,HCI,UX Research; Applied HCI,유럽계 범용 HCI. 응용 UX 연구 수용 폭 넓음.,"INTERACT 2027: Tallinn, 2027-08-23~27.",S013,2026-06-10,verified_official
V008,OzCHI (Australian Conference on Human-Computer Interaction),OzCHI,conference,HCI,other,HFESA CHISIG,https://www.ozchi.org/2026,https://www.ozchi.org/2026/papers,,,,long paper; late-breaking work; workshop,,core,HCI,UX Research; Applied HCI,응용 UX/HCI 연구 진입 장벽이 상대적으로 낮은 지역 학회.,"OzCHI 2026: Adelaide, 2026-11-21~25.",S014,2026-06-10,verified_official
V009,NordiCHI,NordiCHI,conference,HCI,ACM,other,https://sites.uwasa.fi/nordichi2026/,https://sites.uwasa.fi/nordichi2026/nordichi-2026/submit/,,https://www.acm.org/binaries/content/assets/publications/taps/acm_submission_template.docx,https://new.precisionconference.com/,research paper; LBW; demo; industry; workshop,,core,HCI,UX Research; Industry track,북유럽계 범용 HCI. industry 트랙 보유.,"NordiCHI 2026: Vaasa(핀란드), 2026-10-03~07. 2026 전 트랙 마감 — 차기 회차는 watchlist.",S015,2026-06-10,verified_official
V010,British HCI Conference,British HCI,conference,HCI,other,BCS,https://www.britchi.uk/,https://www.britchi.uk/authors/,,,,full paper; short paper; workshop; SRC,,secondary,HCI,UX Research,Short papers ACM DL 수록. 우수 논문 Interacting with Computers 특집 연계.,"British HCI 2026: London(Brunel), 2026-11-01~03.",S016,2026-06-10,verified_official
