opportunity_id,venue_id,year,track_name,submission_type,abstract_deadline,paper_deadline,deadline_time,deadline_timezone,notification_date,camera_ready_deadline,conference_start,conference_end,location_city,location_country,online_hybrid,page_limit,word_limit,format,official_cfp_url,submission_system_url,template_url,deadline_source_url,location_source_url,page_limit_source_url,status,source_id,last_checked_at,verification_status,notes
OPP001,V001,2027,CHI 2027 Papers,full paper,,2026-09-10,,AoE,2026-12-17,,2027-05-10,2027-05-14,Pittsburgh,USA,in-person,,5000-8000 (max 12000),ACM single-column (review),https://chi2027.acm.org/authors/papers/,https://new.precisionconference.com/,https://chi2026.acm.org/chi-publication-formats/,https://chi2027.acm.org/authors/papers/,https://chi2027.acm.org/authors/papers/,https://chi2027.acm.org/authors/papers/,upcoming,S002,2026-06-10,verified_official,"abstract deadline 없음. 제출 시스템 2026-07-30 오픈. 24h grace period. R&R: 리뷰 11/5, 재제출 12/3, 최종 12/17."
OPP002,V002,2026,CSCW Rolling Papers (PACM HCI),journal article,,,,AoE,,,,,,,,,5000-12000,ACM acmsmall single-column (TAPS),https://cscw.acm.org/2026/rolling.html,https://mc.manuscriptcentral.com/pacmhci,https://dl.acm.org/journal/pacmhci/submission-templates,https://cscw.acm.org/2026/rolling.html,https://cscw.acm.org/2026/rolling.html,https://cscw.acm.org/2026/rolling.html,rolling,S004,2026-06-10,verified_official,완전 rolling — 마감 없음. 결정 ~3-4개월. 5개 method track. reject 후 4개월 재제출 제한. cover letter 필수.
OPP003,V002,2026,CSCW 2026 Industry Perspectives,industry talk/demo/panel,,2026-07-01,,AoE,2026-07-15,,2026-10-10,2026-10-14,Salt Lake City,USA,in-person,2-4p,,ACM single-column,https://cscw.acm.org/2026/industry.html,https://new.precisionconference.com/,https://www.acm.org/binaries/content/assets/publications/taps/acm_submission_template.docx,https://cscw.acm.org/2026/industry.html,https://cscw.acm.org/2026/industry.html,https://cscw.acm.org/2026/industry.html,open,S005,2026-06-10,verified_official,"비학계 소속 저자 1인 이상 필수 — 산업체 연구자에게 적합. 비익명, non-archival. 발표자 현장 등록 필수."
OPP004,V004,2026,UIST 2026 Posters,poster,,2026-07-10,23:59,AoE,2026-08-14,2026-08-21,2026-11-02,,,,in-person,2p extended abstract (excl. refs),,"ACM double-column, anonymous",https://uist.acm.org/2026/cfp/,https://new.precisionconference.com/,,https://uist.acm.org/2026/cfp/,https://uist.acm.org/2026/cfp/,https://uist.acm.org/2026/cfp/,open,S008,2026-06-10,verified_official,semi-archival adjunct proceedings. 개최 도시 CFP 페이지 미표기 — 홈페이지 확인 필요.
OPP005,V004,2026,UIST 2026 Demos,demo,,2026-07-10,,AoE,2026-08-14,,2026-11-02,,,,in-person,,1500-2000,,https://uist.acm.org/2026/cfp/,https://new.precisionconference.com/,,https://uist.acm.org/2026/cfp/,https://uist.acm.org/2026/cfp/,https://uist.acm.org/2026/cfp/,open,S008,2026-06-10,verified_official,"비익명, juried, non-archival. 데모 비디오(5분 이하)+floor plan 필요."
OPP006,V004,2026,UIST 2026 Workshops,workshop paper,,2026-07-10,,AoE,,,2026-11-02,,,,,2p extended abstract,,,https://uist.acm.org/2026/cfp/,https://new.precisionconference.com/,,https://uist.acm.org/2026/cfp/,https://uist.acm.org/2026/cfp/,https://uist.acm.org/2026/cfp/,open,S008,2026-06-10,verified_official,워크숍 제안서. 워크숍 데이 2026-11-02.
OPP007,V013,2026,RecSys 2026 Demos,demo,,2026-07-15,,AoE,2026-08-10,2026-08-17,2026-09-28,2026-10-02,Minneapolis,USA,in-person,,,,https://recsys.acm.org/recsys26/call/,https://easychair.org/conferences/?conf=recsys2026,,https://recsys.acm.org/recsys26/call/,https://recsys.acm.org/recsys26/call/,,open,S021,2026-06-10,verified_official,abstract 사전등록 불필요. 발표 영상 ACM DL 배포. 메인/industry/R&P Notes는 마감됨. 개별 워크숍 CFP는 여름 진행 — watchlist 참고.
OPP008,V017,2026,ASSETS 2026 Posters & Demonstrations,poster,,2026-07-01,,AoE,2026-08-05,2026-08-19,2026-10-25,2026-10-28,Porto,Portugal,in-person,,,,https://assets26.sigaccess.org/posters_and_demos.html,https://new.precisionconference.com/submissions,,https://assets26.sigaccess.org/call_for_papers.html,https://assets26.sigaccess.org/call_for_papers.html,,open,S027,2026-06-10,verified_official,archival abstract. 접근성 미준수 제출물 desk reject.
OPP009,V017,2026,ASSETS 2026 Experience Reports,full paper,,2026-06-10,23:59,AoE,2026-07-15,2026-07-22,2026-10-25,2026-10-28,Porto,Portugal,in-person,,,,https://assets26.sigaccess.org/experience_reports.html,https://new.precisionconference.com/submissions,,https://assets26.sigaccess.org/call_for_papers.html,https://assets26.sigaccess.org/call_for_papers.html,,closed,S027,2026-06-11,verified_official,2026-06-10 AoE 마감 종료.
OPP010,V015,2026,HCOMP/CI 2026 Workshop Proposals,workshop paper,,2026-06-15,23:59,AoE,2026-06-22,,2026-09-27,2026-09-30,Alexandria (DC area),USA,in-person,,,,https://www.humancomputation.com/2026/submit.html,,,https://www.humancomputation.com/2026/submit.html,https://www.humancomputation.com/2026/submit.html,,open,S024,2026-06-10,verified_official,제안서 이메일 제출(hcomp-ci-2026-workshops@acm.org). 본 논문/talk 마감(6/8). Posters/Demos·DC는 Coming soon — watchlist.
