opportunity_id,venue_id,year,track_name,submission_type,abstract_deadline,paper_deadline,deadline_time,deadline_timezone,notification_date,camera_ready_deadline,conference_start,conference_end,location_city,location_country,online_hybrid,page_limit,word_limit,format,official_cfp_url,submission_system_url,template_url,deadline_source_url,location_source_url,page_limit_source_url,status,source_id,last_checked_at,verification_status,notes,ai_confidence,change_note
OPP003,V002,2026,CSCW 2026 Industry Perspectives,industry talk/demo/panel,,2026-07-01,,AoE,2026-07-15,,2026-10-10,2026-10-14,Salt Lake City,USA,in-person,2-4p,,ACM single-column,https://cscw.acm.org/2026/industry.html,https://new.precisionconference.com/,https://www.acm.org/binaries/content/assets/publications/taps/acm_submission_template.docx,https://cscw.acm.org/2026/industry.html,https://cscw.acm.org/2026/industry.html,https://cscw.acm.org/2026/industry.html,open,S005,2026-06-29,verified_official,"비학계 소속 저자 1인 이상 필수 — 산업체 연구자에게 적합. 비익명, non-archival. 발표자 현장 등록 필수.",medium,"Weekly source fetch OK: https://cscw.acm.org/2026/industry.html. Date evidence candidates: STRY PERSPECTIVES IMPORTANT DATES Wednesday, July 1, 2026: Deadline for submissions due 23:59 Anywhere | due 23:59 Anywhere on Earth (AoE) Wednesday, July 15, 2026: Notification of acceptance ON PRACTICE AS A | olicy on generative AI. Submission deadline: July 1, 2026. All deadlines are AoE. Notification of acce | AoE. Notification of acceptance will go out July 15, 2026. WHY SUBMIT Because the research community b"
OPP004,V004,2026,UIST 2026 Posters,poster,,2026-07-10,23:59,AoE,2026-08-14,2026-08-21,2026-11-02,,,,in-person,2p extended abstract (excl. refs),,"ACM double-column, anonymous",https://uist.acm.org/2026/cfp/,https://new.precisionconference.com/,,https://uist.acm.org/2026/cfp/,https://uist.acm.org/2026/cfp/,https://uist.acm.org/2026/cfp/,open,S008,2026-07-06,verified_official,semi-archival adjunct proceedings. 개최 도시 CFP 페이지 미표기 — 홈페이지 확인 필요.,medium,"Weekly source fetch OK: https://uist.acm.org/2026/cfp/. Date evidence candidates: ing model for 2026 ACM Conferences! Starting January 1, 2026, ACM will fully transition to Open Access. A | s2026@uist.org . Submission deadline Friday, July 10, 2026 Acceptance notification Friday, August 14, 2 | uly 10, 2026 Acceptance notification Friday, August 14, 2026 Camera-ready versions due Friday, August 21, | t 14, 2026 Camera-ready versions due Friday, August 21, 2026 Accompanying video (optional) Friday, August | , 2026 Accompanying video (optional) Friday, August 21, 2026 Submission Information Submission Platform A | t 14, 2026 Camera-ready versions due Friday, August 21, 2026 Video preview due Friday, August 21, 2026 Su | y, August 21, 2026 Video preview due Friday, August 21, 2026 Submission Information Submission Platform A | m2026@uist.org . Submission deadline Friday, July 10, 2026 Acceptance notification Friday, August 8, 20"
OPP005,V004,2026,UIST 2026 Demos,demo,,2026-07-10,,AoE,2026-08-14,,2026-11-02,,,,in-person,,1500-2000,,https://uist.acm.org/2026/cfp/,https://new.precisionconference.com/,,https://uist.acm.org/2026/cfp/,https://uist.acm.org/2026/cfp/,https://uist.acm.org/2026/cfp/,open,S008,2026-07-06,verified_official,"비익명, juried, non-archival. 데모 비디오(5분 이하)+floor plan 필요.",medium,"Weekly source fetch OK: https://uist.acm.org/2026/cfp/. Date evidence candidates: ing model for 2026 ACM Conferences! Starting January 1, 2026, ACM will fully transition to Open Access. A | s2026@uist.org . Submission deadline Friday, July 10, 2026 Acceptance notification Friday, August 14, 2 | uly 10, 2026 Acceptance notification Friday, August 14, 2026 Camera-ready versions due Friday, August 21, | t 14, 2026 Camera-ready versions due Friday, August 21, 2026 Accompanying video (optional) Friday, August | , 2026 Accompanying video (optional) Friday, August 21, 2026 Submission Information Submission Platform A | t 14, 2026 Camera-ready versions due Friday, August 21, 2026 Video preview due Friday, August 21, 2026 Su | y, August 21, 2026 Video preview due Friday, August 21, 2026 Submission Information Submission Platform A | m2026@uist.org . Submission deadline Friday, July 10, 2026 Acceptance notification Friday, August 8, 20"
OPP006,V004,2026,UIST 2026 Workshops,workshop paper,,2026-07-10,,AoE,,,2026-11-02,,,,,2p extended abstract,,,https://uist.acm.org/2026/cfp/,https://new.precisionconference.com/,,https://uist.acm.org/2026/cfp/,https://uist.acm.org/2026/cfp/,https://uist.acm.org/2026/cfp/,open,S008,2026-07-06,verified_official,워크숍 제안서. 워크숍 데이 2026-11-02.,medium,"Weekly source fetch OK: https://uist.acm.org/2026/cfp/. Date evidence candidates: ing model for 2026 ACM Conferences! Starting January 1, 2026, ACM will fully transition to Open Access. A | s2026@uist.org . Submission deadline Friday, July 10, 2026 Acceptance notification Friday, August 14, 2 | uly 10, 2026 Acceptance notification Friday, August 14, 2026 Camera-ready versions due Friday, August 21, | t 14, 2026 Camera-ready versions due Friday, August 21, 2026 Accompanying video (optional) Friday, August | , 2026 Accompanying video (optional) Friday, August 21, 2026 Submission Information Submission Platform A | t 14, 2026 Camera-ready versions due Friday, August 21, 2026 Video preview due Friday, August 21, 2026 Su | y, August 21, 2026 Video preview due Friday, August 21, 2026 Submission Information Submission Platform A | m2026@uist.org . Submission deadline Friday, July 10, 2026 Acceptance notification Friday, August 8, 20"
OPP007,V013,2026,RecSys 2026 Demos,demo,,2026-07-15,,AoE,2026-08-10,2026-08-17,2026-09-28,2026-10-02,Minneapolis,USA,in-person,,,,https://recsys.acm.org/recsys26/call/,https://easychair.org/conferences/?conf=recsys2026,,https://recsys.acm.org/recsys26/call/,https://recsys.acm.org/recsys26/call/,,open,S021,2026-07-06,verified_official,abstract 사전등록 불필요. 발표 영상 ACM DL 배포. 메인/industry/R&P Notes는 마감됨. 개별 워크숍 CFP는 여름 진행 — watchlist 참고.,medium,"Weekly source fetch OK: https://recsys.acm.org/recsys26/call/. Date evidence candidates: Minneapolis, Minnesota, USA, September 28 – October 2, 2026 (with Doctoral Symposium scheduled for Septe | otification Camera-ready Long papers Abstr.: Apr 14, 2026 Paper: Apr 21, 2026 Jun 4-9, 2026 Jul 9, 202 | eady Long papers Abstr.: Apr 14, 2026 Paper: Apr 21, 2026 Jun 4-9, 2026 Jul 9, 2026 Jul 27, 2026 Short | r 14, 2026 Paper: Apr 21, 2026 Jun 4-9, 2026 Jul 9, 2026 Jul 27, 2026 Short papers Abstr.: Apr 14, 20 | aper: Apr 21, 2026 Jun 4-9, 2026 Jul 9, 2026 Jul 27, 2026 Short papers Abstr.: Apr 14, 2026 Paper: Apr | ul 9, 2026 Jul 27, 2026 Short papers Abstr.: Apr 14, 2026 Paper: Apr 21, 2026 Jun 4-9, 2026 Jul 9, 202 | 026 Short papers Abstr.: Apr 14, 2026 Paper: Apr 21, 2026 Jun 4-9, 2026 Jul 9, 2026 Jul 27, 2026 Past, | r 14, 2026 Paper: Apr 21, 2026 Jun 4-9, 2026 Jul 9, 2026 Jul 27, 2026 Past, Present and Future papers"
OPP008,V017,2026,ASSETS 2026 Posters & Demonstrations,poster,,2026-07-01,,AoE,2026-08-05,2026-08-19,2026-10-25,2026-10-28,Porto,Portugal,in-person,,,,https://assets26.sigaccess.org/posters_and_demos.html,https://new.precisionconference.com/submissions,,https://assets26.sigaccess.org/call_for_papers.html,https://assets26.sigaccess.org/call_for_papers.html,,open,S027,2026-06-29,verified_official,archival abstract. 접근성 미준수 제출물 desk reject.,medium,"Weekly source fetch OK: https://assets26.sigaccess.org/posters_and_demos.html. Date evidence candidates: . Anywhere on Earth (UTC -12:00). Wednesday, July 1, 2026 – Posters & Demos Submission Deadline Wednes | sters & Demos Submission Deadline Wednesday, August 5, 2026 – Notification of Acceptance Wednesday, Augu | 2026 – Notification of Acceptance Wednesday, August 19, 2026 – Camera Ready Deadline Submission Guideline | g . How to Submit The submission deadline is July 1, 2026, 11:59 P.M. Anywhere on Earth (UTC -12:00). | ing model for 2026 ACM Conferences: Starting January 1, 2026, ACM will fully transition to Open Access. A"
OPP010,V015,2026,HCOMP/CI 2026 Workshop Proposals,workshop paper,,2026-06-15,23:59,AoE,2026-06-22,,2026-09-27,2026-09-30,Alexandria (DC area),USA,in-person,,,,https://www.humancomputation.com/2026/submit.html,,,https://www.humancomputation.com/2026/submit.html,https://www.humancomputation.com/2026/submit.html,,open,S024,2026-06-15,verified_official,제안서 이메일 제출(hcomp-ci-2026-workshops@acm.org). 본 논문/talk 마감(6/8). Posters/Demos·DC는 Coming soon — watchlist.,medium,"Weekly source fetch OK: https://www.humancomputation.com/2026/submit.html. Date evidence candidates: ers and Talks Important Dates Abstracts due: June 1, 2026 AoE Papers due: June 8, 2026 AoE Notificatio | Abstracts due: June 1, 2026 AoE Papers due: June 8, 2026 AoE Notifications: July 31, 2026 Camera read | Papers due: June 8, 2026 AoE Notifications: July 31, 2026 Camera ready due: August 13, 2026 Submission | tifications: July 31, 2026 Camera ready due: August 13, 2026 Submission Options The two primary submissio | e published under ACM Open Access . Starting January 1, 2026, ACM will fully transition to Open Access. A | nes are 11:59pm AoE) Workshop Proposals Due: June 15, 2026 Workshop Acceptance Notifications: June 22, | 15, 2026 Workshop Acceptance Notifications: June 22, 2026 Workshop Websites Live & CfP Announced: June | 2026 Workshop Websites Live & CfP Announced: June 29, 2026 Suggested Workshop Paper Submission Deadline"
OPP011,V005,2027,IUI 2027 Papers,full paper,,,,,,,2027-02-08,2027-02-11,Helsinki,Finland,,,,,https://iui.acm.org/2027/call-for-papers/,,,https://iui.acm.org/2027/call-for-papers/,https://iui.acm.org/2027/call-for-papers/,,upcoming,S010,2026-07-06,needs_verification,"CFP Coming soon — 마감 미공개. 예년 패턴상 abstract ~2026-10 초, paper ~10월 중순. 학회 일자/장소는 공식 확인됨.",medium,"Weekly source fetch OK: https://iui.acm.org/2027/call-for-papers/. Date evidence candidates: ent filings related to published work. As of January 1, 2026, ACM has fully transition to Open Access. Al"
OPP012,V006,2026,MobileHCI 2026 Late-Breaking Work,late-breaking work,,,,AoE,,,2026-08-31,2026-09-03,Swansea,United Kingdom,,8p (incl. appendix; excl. refs),,"ACM single-column manuscript, anonymous",https://mobilehci.acm.org/2026/submit/lbw-posters.html,https://new.precisionconference.com/,,https://mobilehci.acm.org/2026/submit/lbw-posters.html,https://mobilehci.acm.org/2026/submit/lbw-posters.html,https://mobilehci.acm.org/2026/submit/lbw-posters.html,upcoming,S012,2026-07-06,needs_verification,공식 페이지에 마감 TBD ~June 2026 — 즉시 확인 필요. PACMHCI 수록(archival). 모바일 UX 연구 1순위 트랙.,medium,"Weekly source fetch OK: https://mobilehci.acm.org/2026/submit/lbw-posters.html. Date evidence candidates: . 🏴󠁧󠁢󠁷󠁬󠁳󠁿 Important Dates Paper submissions: June 18, 2026 Notifications to authors: July 16, 2026 Came | ons: June 18, 2026 Notifications to authors: July 16, 2026 Camera ready deadline: July 23, 2026 All dea | uthors: July 16, 2026 Camera ready deadline: July 23, 2026 All deadlines are 23:59 AoE (Anywhere on Ear | re at 23:59 Anywhere on Earth Last modified: June 19, 2026"
OPP014,V008,2026,OzCHI 2026 Late-Breaking Work,late-breaking work,,2026-08-04,,AoE,2026-09-24,2026-10-03,2026-11-21,2026-11-25,Adelaide,Australia,,,,,https://www.ozchi.org/2026/papers,,,https://www.ozchi.org/2026,https://www.ozchi.org/2026,,open,S014,2026-07-06,verified_official,camera-ready 2026-10-03.,medium,"Weekly source fetch OK: https://www.ozchi.org/2026/papers. Date evidence candidates: e ACM Digital Library. Please note that from January 1, 2026, all ACM publications will be published on a"
